cls,job,marital,education,default,housing,loan,contact,month,poutcome,age,balance,day,duration,campaign,pdays,previous
0,0,0,0,0,1,0,0,8,3,1.7011201,-0.3846838,-1.2984619,-0.023931706,-0.56934434,-0.41144857,-0.2519376
0,7,1,1,0,1,0,0,4,3,-0.9357221,-0.4474144,1.5852952,-0.13265783,-0.24655762,-0.41144857,-0.2519376
0,7,1,1,0,1,0,0,5,3,-0.1823386,-0.42967904,-0.6976792,0.8070465,-0.56934434,-0.41144857,-0.2519376
0,1,1,0,0,1,0,0,8,3,-0.7473762,-0.39847794,-0.21705304,-0.9209222,-0.24655762,-0.41144857,-0.2519376
0,9,1,2,0,0,0,0,4,3,-0.1823386,0.17299457,1.5852952,-0.5830946,-0.24655762,-0.41144857,-0.2519376
0,2,1,0,0,1,0,0,9,1,1.1360825,-0.107815206,0.3837297,2.31368,-0.24655762,1.2963527,1.0504618
0,9,1,1,0,1,0,0,1,3,-0.4648574,1.044326,1.4651387,-0.70735306,4.2724566,-0.41144857,-0.2519376
0,7,0,1,0,1,0,2,8,3,-0.6532033,-0.42179665,-1.0581489,-0.86655915,0.0762291,-0.41144857,-0.2519376
0,1,2,1,0,1,0,2,8,3,-1.4065868,-0.51769894,-0.33720958,-0.6685223,0.3990158,-0.41144857,-0.2519376
0,1,2,2,0,0,0,0,6,3,-0.1823386,-0.43164963,-1.5387751,1.0905111,-0.56934434,-0.41144857,-0.2519376
0,7,2,1,0,1,0,2,8,3,-0.9357221,-0.28943837,0.6240428,-0.55979615,-0.24655762,-0.41144857,-0.2519376
0,1,1,0,0,1,0,0,8,3,-0.4648574,-0.4474144,0.26357314,-0.97140217,1.367376,-0.41144857,-0.2519376
0,9,2,1,0,1,0,0,9,1,-0.9357221,0.027827408,0.6240428,-0.12877475,-0.24655762,0.5473171,5.391793
0,4,1,2,0,0,0,0,9,3,0.57104486,-0.38632596,0.5038862,-0.7306515,-0.24655762,-0.41144857,-0.2519376
0,7,2,1,0,1,1,2,8,3,-1.6891056,-0.46022326,-0.8178358,-0.45107004,-0.24655762,-0.41144857,-0.2519376
0,9,1,1,0,0,0,2,6,3,-0.84154916,-0.4474144,-1.6589316,-0.7384176,5.88639,-0.41144857,-0.2519376
0,4,2,2,0,1,1,2,6,3,0.0060072714,-0.08186904,-0.8178358,0.5041666,2.9813097,-0.41144857,-0.2519376
0,1,1,0,0,1,0,2,8,3,0.10018021,-0.4424879,-1.1783054,-0.10935937,-0.56934434,-0.41144857,-0.2519376
0,7,2,1,0,1,0,0,9,3,-0.84154916,3.259603,0.6240428,-0.6452238,1.367376,-0.41144857,-0.2519376
0,4,2,2,0,1,0,2,8,3,-0.37068447,-0.30717373,0.5038862,-0.53261465,-0.56934434,-0.41144857,-0.2519376
0,2,2,2,0,1,0,2,8,3,-0.6532033,-0.2129136,-0.45736614,-0.3578762,0.3990158,-0.41144857,-0.2519376
0,0,1,1,0,1,0,2,8,3,-0.6532033,0.59864306,-0.33720958,1.0167326,-0.56934434,-0.41144857,-0.2519376
0,0,2,2,0,0,0,0,4,3,-1.3124138,-0.13408981,1.5852952,-0.2802147,-0.56934434,-0.41144857,-0.2519376
0,9,1,1,0,1,1,1,10,3,-0.6532033,-0.11504072,1.4651387,1.0943941,-0.56934434,-0.41144857,-0.2519376
0,2,1,2,0,1,0,0,9,3,0.8535637,2.3931983,0.5038862,-0.4549531,-0.56934434,-0.41144857,-0.2519376
0,1,1,1,0,1,0,2,8,3,-0.55903035,0.22718592,0.5038862,0.7332681,-0.56934434,-0.41144857,-0.2519376
0,3,1,0,0,0,0,1,5,3,0.19435315,0.04227844,-0.21705304,-0.59474385,0.0762291,-0.41144857,-0.2519376
0,4,1,2,0,1,0,0,9,3,0.47687194,2.7311552,0.1434166,0.23235129,-0.56934434,-0.41144857,-0.2519376
0,3,1,1,0,1,0,2,6,3,1.1360825,0.34279415,0.02326005,0.523582,-0.24655762,-0.41144857,-0.2519376
0,6,1,1,0,0,0,0,1,3,0.10018021,-0.330164,0.74419934,-0.63745767,0.3990158,-0.41144857,-0.2519376
0,1,2,1,0,1,1,0,5,3,-1.4065868,-0.47500274,1.5852952,-0.757833,0.72180253,-0.41144857,-0.2519376
0,9,0,1,0,0,0,0,5,3,1.0419096,-0.3554533,-0.21705304,0.523582,0.72180253,-0.41144857,-0.2519376
0,3,1,0,0,0,0,1,5,3,0.7593908,-0.42179665,-0.6976792,-0.46271926,-0.56934434,-0.41144857,-0.2519376
0,9,1,1,0,1,1,0,8,3,-1.4065868,-0.4415026,-1.2984619,-0.46660233,-0.56934434,-0.41144857,-0.2519376
0,4,1,1,0,0,0,0,9,3,0.57104486,-0.2969923,0.26357314,-0.7461838,-0.56934434,-0.41144857,-0.2519376
0,4,1,2,0,0,0,0,1,3,-0.6532033,-0.27695793,-0.5775227,-0.78113145,0.0762291,-0.41144857,-0.2519376
0,4,0,2,0,1,0,0,5,3,-1.0298951,-0.41260055,0.26357314,-0.4238885,-0.56934434,-0.41144857,-0.2519376
0,0,0,1,0,1,0,0,8,0,1.3244283,-0.542003,-0.21705304,-0.76171607,0.3990158,3.1140125,0.6163286
0,1,0,0,0,0,0,0,5,3,0.6652178,-0.4474144,-0.5775227,0.25564975,-0.24655762,-0.41144857,-0.2519376
